,POSTAL,LATITUDE,LONGITUDE,chinese,malay,indian,hdb_town
0,190001,1.3036713506088,103.864478660925,0,0,0,KALLANG / WHAMPOA
1,460001,1.32085208689731,103.933721091441,0,0,0,BEDOK
2,500001,1.38854656229022,103.987804503483,0,1,0,None
3,160001,1.2920752508431,103.828584077626,1,0,0,BUKIT MERAH
4,130001,1.3025299473495,103.783271662459,0,0,0,QUEENSTOWN
5,430001,1.31129091152627,103.897703432652,0,0,0,GEYLANG
6,150001,1.28647148628638,103.808275089948,1,0,0,BUKIT MERAH
7,431001,1.30355769675629,103.883796413118,0,0,0,KALLANG / WHAMPOA
8,531001,1.35086712646948,103.875343939672,1,0,0,SERANGOON
9,730001,1.44067109860246,103.775739945213,0,1,1,WOODLANDS
10,260001,1.31726629524359,103.806782877524,1,0,0,BUKIT TIMAH
11,320001,1.32340263694069,103.86163080083,0,0,0,KALLANG / WHAMPOA
12,680001,1.38253882861956,103.751710905678,0,0,0,CHOA CHU KANG
13,400010,1.32228655863065,103.902720513959,0,0,0,GEYLANG
14,161010,1.28745837020188,103.832675765986,0,0,0,BUKIT MERAH
15,391010,1.30915239429834,103.882242524292,1,0,0,GEYLANG
16,180010,1.30370879401395,103.850537238747,0,0,0,CENTRAL AREA
17,320010,1.32374648815059,103.863412150847,0,0,0,KALLANG / WHAMPOA
18,680010,1.38047054647235,103.755211077169,0,0,0,CHOA CHU KANG
19,590010,1.33753956576433,103.773161066389,1,0,0,BUKIT TIMAH
20,332010,1.31547715332072,103.860312930116,0,0,0,KALLANG / WHAMPOA
21,164010,1.28633684743341,103.829204757258,1,0,0,BUKIT MERAH
22,312010,1.33716136352623,103.858353639387,0,0,0,TOA PAYOH
23,333010,1.31584236197018,103.860644539729,1,0,0,KALLANG / WHAMPOA
24,462010,1.32209423564282,103.936223586082,0,0,0,BEDOK
25,463010,1.3217708591015,103.936326570445,1,0,0,BEDOK
26,464010,1.3216200934601,103.937040959341,0,0,0,BEDOK
27,465010,1.32221773472774,103.937001345916,1,0,0,BEDOK
28,460100,1.3343559340081,103.939032711241,0,0,0,BEDOK
29,140100,1.30770527644458,103.801272476263,0,0,0,QUEENSTOWN
30,310100,1.33956400517882,103.848585713817,1,0,0,TOA PAYOH
31,320100,1.32077947735201,103.854348739922,0,0,0,KALLANG / WHAMPOA
32,380101,1.32092275330579,103.883351967045,0,0,0,GEYLANG
33,560101,1.37026158388486,103.839467898898,0,0,0,ANG MO KIO
34,470101,1.32844913301985,103.909937396599,0,1,0,BEDOK
35,460101,1.334484667124,103.937924710969,0,0,0,BEDOK
36,570101,1.34485915828152,103.848400765185,1,0,0,BISHAN
37,120101,1.32208936757694,103.76893341249,0,0,0,CLEMENTI
38,670101,1.37916431633637,103.767439286222,0,0,0,BUKIT PANJANG
39,410101,1.32515983382087,103.910888819332,0,0,0,BEDOK
40,510101,1.36705021516612,103.958181857039,0,1,1,PASIR RIS
41,350101,1.33315710123237,103.868380398922,1,0,0,TOA PAYOH
42,540101,1.38276428893595,103.899272035914,0,0,0,SENGKANG
43,550101,1.37103631988089,103.870360910842,0,0,0,SERANGOON
44,520101,1.34084991073361,103.951433717517,0,0,0,TAMPINES
45,521101,1.34739870794535,103.945292359327,0,0,0,TAMPINES
46,680101,1.37788964623982,103.754239909547,0,0,0,CHOA CHU KANG
47,322101,1.31942539040726,103.861087462608,0,0,0,KALLANG / WHAMPOA
48,730101,1.43598268540185,103.781932747463,0,1,0,WOODLANDS
49,760101,1.43053231016112,103.827618665577,0,1,0,YISHUN
50,310101,1.33974126719163,103.847264187382,1,0,0,TOA PAYOH
51,821101,1.3979461677694,103.905945136259,0,0,0,PUNGGOL
52,311101,1.33959884500115,103.847605414427,0,0,0,TOA PAYOH
53,822101,1.39784715104396,103.906436071245,0,0,0,PUNGGOL
54,824101,1.39848478483582,103.90614388692,0,0,0,PUNGGOL
55,380102,1.3204390302197,103.882420433245,0,0,0,GEYLANG
56,560102,1.37065009769471,103.839410339836,0,0,0,ANG MO KIO
57,470102,1.32849187727623,103.90926515578,0,0,0,BEDOK
58,570102,1.3451431233477,103.847990805259,1,0,0,BISHAN
59,650102,1.34745833930547,103.747473341114,0,0,0,BUKIT BATOK
60,140102,1.30782464878023,103.800629787177,0,0,0,QUEENSTOWN
61,120102,1.32228557225905,103.769201884359,0,0,0,CLEMENTI
62,670102,1.37910762831305,103.768153816778,0,0,0,BUKIT PANJANG
63,150102,1.290366187147,103.82157708445,1,0,0,BUKIT MERAH
64,530102,1.35496446293882,103.890855054687,1,0,0,HOUGANG
65,320102,1.3278687431847,103.844209602863,1,0,0,KALLANG / WHAMPOA
66,600102,1.33609657873553,103.738219191663,0,0,0,JURONG EAST
67,410102,1.32557930714658,103.91065754789,0,0,0,BEDOK
68,510102,1.36748427336516,103.958041055125,0,1,1,PASIR RIS
69,350102,1.3336901273759,103.868810587506,1,0,0,TOA PAYOH
70,540102,1.38180761026047,103.900893229708,0,0,0,SENGKANG
71,550102,1.37084327297737,103.871153606719,0,0,0,SERANGOON
72,520102,1.34134724976252,103.951355074928,0,0,0,TAMPINES
73,521102,1.34671616267656,103.945521388285,0,0,0,TAMPINES
74,680102,1.377082841385,103.754394432037,0,0,0,CHOA CHU KANG
75,322102,1.32058609456907,103.862002015145,0,0,0,KALLANG / WHAMPOA
76,730102,1.43608294925148,103.781199565987,0,1,1,WOODLANDS
77,821102,1.39883318313425,103.905783553043,0,0,0,PUNGGOL
78,824102,1.39848070795436,103.905249752459,0,0,0,PUNGGOL
79,560103,1.37101657804604,103.839304839187,0,0,0,ANG MO KIO
80,460103,1.33348258777759,103.937542520091,0,0,0,BEDOK
81,470103,1.32877022232019,103.909381354431,0,1,0,BEDOK
82,570103,1.34551249132105,103.848314162387,1,0,0,BISHAN
83,650103,1.34822368204242,103.748034526478,0,0,0,BUKIT BATOK
84,120103,1.32258854750628,103.769176205799,0,0,0,CLEMENTI
85,670103,1.37867070821171,103.768538440957,0,0,0,BUKIT PANJANG
