POSTAL,chinese,malay,indian
190001,0,0,0
460001,0,0,0
500001,0,1,0
160001,1,0,0
130001,0,0,0
081001,0,0,0
430001,0,0,0
150001,1,0,0
431001,0,0,0
531001,1,0,0
730001,0,1,1
260001,1,0,0
320001,0,0,0
680001,0,0,0
090001,0,0,0
082001,1,0,0
085101,1,0,0
085201,0,0,0
085301,1,0,0
085501,1,0,0
085601,0,0,0
085701,1,0,0
400010,0,0,0
161010,0,0,0
391010,1,0,0
180010,0,0,0
320010,0,0,0
680010,0,0,0
090010,0,0,0
590010,1,0,0
332010,0,0,0
164010,1,0,0
312010,0,0,0
333010,1,0,0
462010,0,0,0
463010,1,0,0
464010,0,0,0
465010,1,0,0
460100,0,0,0
140100,0,0,0
310100,1,0,0
320100,0,0,0
380101,0,0,0
560101,0,0,0
470101,0,1,0
460101,0,0,0
570101,1,0,0
090101,1,0,0
120101,0,0,0
670101,0,0,0
410101,0,0,0
510101,0,1,1
350101,1,0,0
540101,0,0,0
550101,0,0,0
520101,0,0,0
521101,0,0,0
680101,0,0,0
322101,0,0,0
730101,0,1,0
760101,0,1,0
310101,1,0,0
821101,0,0,0
311101,0,0,0
822101,0,0,0
824101,0,0,0
380102,0,0,0
560102,0,0,0
470102,0,0,0
570102,1,0,0
650102,0,0,0
090102,0,0,0
140102,0,0,0
120102,0,0,0
670102,0,0,0
150102,1,0,0
530102,1,0,0
320102,1,0,0
600102,0,0,0
410102,0,0,0
510102,0,1,1
350102,1,0,0
540102,0,0,0
550102,0,0,0
520102,0,0,0
521102,0,0,0
680102,0,0,0
322102,0,0,0
730102,0,1,1
821102,0,0,0
824102,0,0,0
560103,0,0,0
460103,0,0,0
470103,0,1,0
570103,1,0,0
650103,0,0,0
090103,1,0,0
120103,0,0,0
670103,0,0,0
150103,1,0,0
321103,0,0,0
410103,0,0,0
510103,0,1,1
350103,0,0,0
540103,0,0,0
550103,0,0,0
080103,0,0,0
520103,0,1,0
680103,0,1,0
322103,1,0,0
760103,0,1,0
101103,1,0,0
821103,0,0,1
102103,1,0,0
823103,0,0,0
380104,1,0,0
470104,0,0,0
460104,0,0,0
650104,0,0,0
090104,0,0,0
120104,0,0,0
150104,1,0,0
530104,0,0,0
320104,0,0,0
600104,0,0,0
410104,0,0,0
510104,0,1,1
350104,0,0,0
540104,0,0,0
550104,0,0,0
680104,0,1,1
323104,0,0,0
730104,0,1,1
560104,0,0,0
751104,0,1,0
101104,1,0,0
561104,0,0,0
752104,0,0,1
102104,1,0,1
822104,0,0,1
753104,0,0,0
754104,0,0,0
380105,1,0,0
560105,1,0,0
470105,0,0,0
460105,0,0,0
570105,1,0,0
650105,1,0,0
090105,0,0,0
120105,0,0,0
150105,1,0,0
320105,1,0,0
600105,0,0,0
410105,0,0,0
510105,0,1,1
350105,1,0,0
540105,0,0,0
550105,0,0,0
520105,0,0,0
521105,0,0,0
730105,0,1,0
101105,1,0,0
821105,0,0,0
822105,0,0,0
823105,0,0,0
824105,0,0,0
380106,1,0,0
460106,0,0,0
470106,0,1,0
570106,1,0,0
650106,0,0,0
090106,1,0,0
670106,0,0,0
150106,1,0,0
530106,0,0,0
321106,1,0,0
320106,0,0,0
410106,0,0,0
510106,0,1,1
350106,0,0,0
540106,0,0,0
550106,0,0,0
080106,0,0,1
521106,0,0,0
680106,0,1,0
322106,1,0,0
760106,0,0,0
101106,1,0,0
821106,0,0,0
102106,1,0,1
822106,0,0,0
823106,0,0,0
380107,1,0,0
560107,1,0,0
470107,0,0,0
650107,0,0,0
670107,0,0,0
320107,0,0,0
410107,0,0,0
310107,1,0,0
350107,1,0,0
540107,0,0,1
550107,0,0,0
520107,0,0,0
521107,0,0,0
680107,0,0,1
321107,0,0,0
730107,0,1,0
760107,0,0,0
751107,0,0,0
821107,0,0,0
822107,0,0,0
823107,0,0,0
824107,0,0,0
380108,1,0,0
560108,1,0,0
470108,0,0,0
460108,0,0,0
570108,1,0,0
650108,0,0,0
140108,0,0,0
670108,0,0,0
600108,1,0,0
410108,0,0,0
310108,0,0,0
510108,0,1,1
350108,1,0,0
540108,0,0,0
550108,0,0,0
521108,0,0,0
680108,0,0,0
760108,0,1,0
751108,0,0,0
752108,0,0,0
323108,1,0,0
753108,0,0,0
324108,1,0,0
380109,0,0,0
560109,0,0,0
470109,0,0,0
090109,1,0,0
140109,1,0,0
670109,0,0,0
530109,0,0,0
160109,1,0,0
600109,1,0,0
410109,0,0,0
310109,1,0,0
320109,0,0,0
510109,0,1,1
540109,0,0,0
550109,0,0,0
520109,0,0,0
321109,1,0,0
760109,0,0,0
101109,1,0,0
821109,0,0,0
822109,0,0,0
823109,0,0,0
824109,0,0,0
080011,0,0,0
460011,0,0,0
400011,0,0,0
210011,1,0,0
430011,0,0,0
150011,0,0,0
360011,0,0,0
391011,1,0,0
320011,0,0,0
680011,0,0,0
590011,1,0,0
380011,0,0,0
380110,0,0,0
560110,0,0,0
470110,0,1,0
460110,0,0,0
570110,1,0,0
090110,1,0,0
650110,0,0,0
140110,0,0,0
120110,0,0,0
410110,0,0,0
310110,0,0,0
320110,0,0,0
510110,0,1,1
540110,0,0,0
550110,0,0,0
520110,0,0,0
081110,0,0,0
521110,0,0,0
680110,0,0,0
730110,0,1,0
760110,0,0,0
821110,0,0,0
822110,0,0,0
823110,0,0,0
824110,0,0,1
560111,1,0,0
650111,0,0,0
090111,0,0,0
140111,0,0,0
120111,0,0,0
820111,0,0,0
610111,0,0,0
530111,0,0,0
160111,0,0,0
600111,1,0,0
410111,0,0,0
381111,0,0,0
320111,0,0,0
510111,0,1,1
550111,0,0,1
520111,0,0,0
521111,0,0,0
680111,0,0,0
321111,0,0,1
730111,0,1,0
760111,0,0,0
101111,1,0,0
380112,1,0,0
560112,0,0,0
470112,0,0,0
460112,0,0,0
570112,1,0,0
090112,0,0,0
650112,0,0,0
140112,0,0,0
120112,0,0,0
820112,0,0,0
610112,0,0,0
600112,1,0,0
410112,0,0,0
310112,1,0,0
381112,1,0,0
320112,0,0,0
510112,0,1,1
670112,0,0,0
540112,0,0,0
550112,0,0,0
520112,0,0,0
680112,0,0,0
321112,0,0,0
730112,0,1,0
760112,0,0,0
101112,1,0,0
102112,1,0,0
560113,1,0,0
460113,0,0,0
470113,0,1,0
570113,1,0,0
650113,0,0,0
090113,0,0,0
120113,0,0,0
100113,1,0,0
510113,0,1,1
670113,0,0,0
350113,0,0,0
540113,0,0,0
520113,0,0,0
521113,0,0,0
610113,0,1,0
680113,0,0,0
320113,1,0,0
760113,0,0,0
323113,1,0,0
324113,0,0,0
325113,0,0,0
560114,0,0,0
460114,0,0,0
570114,1,0,0
650114,0,0,0
090114,1,0,0
120114,1,0,0
100114,1,0,0
820114,0,0,0
530114,0,0,0
610114,0,1,0
600114,0,0,0
410114,0,0,0
381114,0,0,0
730114,0,1,0
670114,0,0,0
350114,0,0,0
540114,0,0,0
550114,0,0,0
520114,0,0,0
521114,0,0,0
680114,0,0,0
320114,0,0,0
760114,0,0,1
380115,0,0,0
460115,0,0,0
470115,0,0,0
570115,1,0,0
650115,1,0,0
090115,0,0,0
150115,1,0,0
120115,1,0,0
820115,0,0,0
610115,0,0,0
530115,0,0,0
600115,0,0,0
410115,0,0,0
310115,1,0,0
730115,0,1,0
510115,0,1,1
670115,0,0,0
350115,0,0,0
540115,0,0,0
550115,0,0,0
680115,0,0,0
320115,0,0,0
751115,0,0,0
761115,0,0,0
752115,0,1,0
762115,0,0,1
753115,0,0,0
763115,0,0,0
754115,0,0,1
380116,0,0,0
560116,0,0,1
470116,0,0,0
460116,0,0,0
650116,0,0,0
150116,1,0,0
151116,1,0,0
120116,0,0,0
820116,0,0,0
530116,0,0,0
600116,0,0,0
410116,1,0,0
310116,1,0,0
730116,0,1,0
510116,0,1,1
670116,0,0,0
350116,0,0,0
550116,1,0,0
520116,0,0,0
680116,0,0,0
760116,0,0,0
321116,1,0,0
541116,0,0,0
560117,0,0,0
460117,0,0,0
470117,0,0,0
570117,1,0,0
150117,1,0,0
650117,0,0,0
120117,0,0,0
820117,0,0,0
530117,0,0,0
730117,0,1,0
510117,0,1,1
670117,0,0,0
350117,0,0,0
550117,0,0,0
520117,0,1,0
680117,0,0,0
760117,0,0,0
321117,0,0,0
541117,0,0,0
322117,1,0,0
542117,0,0,0
543117,0,0,0
560118,1,0,0
470118,0,0,0
460118,0,0,0
570118,1,0,0
650118,0,0,0
120118,0,0,0
820118,0,0,0
530118,0,0,0
310118,0,0,0
510118,0,1,1
670118,0,0,0
350118,0,0,1
550118,0,0,0
680118,0,0,0
760118,0,0,0
161118,1,0,0
162118,1,0,0
163118,1,0,0
164118,1,0,0
380119,0,0,0
560119,1,0,0
470119,0,0,0
460119,0,0,0
152119,1,0,0
610119,0,0,0
530119,1,0,0
310119,0,0,0
730119,0,1,1
320119,0,0,1
510119,0,1,1
670119,0,0,0
350119,0,0,0
550119,0,0,0
520119,0,0,0
541119,0,0,0
752119,0,0,0
542119,0,0,0
163119,1,0,0
543119,0,0,0
164119,1,0,0
544119,0,0,0
080012,1,0,0
430012,0,0,0
272012,1,0,0
150012,0,0,0
360012,0,0,0
730012,0,1,1
440012,0,0,0
190012,0,0,0
391012,1,0,0
320012,0,0,0
162012,1,0,0
680012,0,0,0
090012,0,0,0
590012,1,0,0
731012,0,1,1
732012,0,1,1
733012,0,1,1
560120,0,0,0
460120,0,0,0
152120,1,0,0
650120,1,0,0
530120,0,0,0
610120,0,0,0
160120,1,0,0
310120,0,0,0
730120,0,1,1
320120,0,0,1
510120,0,1,1
381120,0,0,0
670120,0,0,0
350120,0,0,0
550120,1,0,0
520120,0,0,0
680120,0,1,0
760120,0,0,0
751120,0,0,0
161120,1,0,0
541120,0,0,0
822120,0,0,0
543120,0,0,0
754120,0,0,0
560121,0,0,0
470121,0,0,0
460121,0,0,0
570121,1,0,0
650121,0,0,0
530121,0,0,0
160121,1,0,0
310121,1,0,0
730121,0,1,0
381121,0,0,0
670121,0,0,0
350121,0,0,0
540121,0,0,0
550121,1,0,0
680121,0,0,0
161121,1,0,0
541121,0,0,1
752121,0,0,0
822121,0,0,0
542121,0,0,0
753121,0,0,0
560122,0,0,0
460122,0,0,0
570122,1,0,0
380122,1,0,0
530122,0,0,0
160122,1,0,0
310122,1,0,0
730122,0,1,0
320122,0,0,1
381122,1,0,0
510122,0,1,1
670122,0,0,0
350122,0,0,0
540122,0,0,0
680122,0,0,0
760122,0,0,0
610122,0,0,0
821122,0,0,0
541122,0,0,0
822122,0,0,0
545122,0,0,0
470123,0,1,0
460123,0,0,0
570123,1,0,0
650123,0,0,0
380123,1,0,0
310123,1,0,0
320123,0,0,1
510123,0,1,1
670123,0,0,0
350123,0,0,0
540123,0,0,0
520123,0,0,0
680123,0,0,0
541123,0,0,0
542123,0,0,0
543123,0,0,1
544123,0,0,0
460124,0,0,0
470124,0,0,0
150124,0,0,0
380124,0,0,0
530124,0,0,0
310124,1,0,0
730124,0,1,0
320124,0,0,1
381124,0,0,0
510124,0,1,1
670124,0,0,0
550124,0,0,0
520124,0,0,1
760124,0,1,0
151124,0,0,0
152124,0,0,0
542124,0,0,0
543124,0,0,0
380125,1,0,0
460125,0,0,0
470125,0,0,0
650125,0,0,0
151125,1,0,0
381125,0,0,0
530125,0,0,0
160125,1,0,0
730125,0,1,1
510125,0,1,1
670125,0,0,0
350125,0,0,0
540125,0,0,0
550125,0,0,0
521125,0,1,0
760125,0,0,0
560126,1,0,0
460126,0,0,0
151126,1,0,0
650126,0,0,0
381126,1,0,0
530126,0,0,0
310126,0,0,0
730126,0,1,0
510126,0,1,1
670126,0,0,0
350126,0,0,0
550126,1,0,0
520126,0,0,0
521126,0,1,0
760126,0,0,0
821126,0,0,0
161126,1,0,0
560127,0,0,0
460127,0,0,0
570127,1,0,0
650127,0,0,0
150127,0,0,0
380127,0,0,0
730127,0,1,0
510127,0,1,1
540127,0,0,1
550127,0,0,0
520127,0,0,0
521127,0,1,0
760127,0,1,1
161127,1,0,0
163127,1,0,0
164127,1,0,0
560128,1,0,0
470128,0,1,0
570128,1,0,0
650128,0,0,0
380128,1,0,0
160128,1,0,0
530128,1,0,0
310128,1,0,0
730128,0,1,0
670128,0,0,0
540128,0,0,0
520128,0,0,0
760128,0,0,0
821128,0,0,0
752128,0,0,0
822128,0,0,0
753128,0,0,0
824128,0,0,0
560129,1,0,0
460129,0,0,0
470129,0,0,0
570129,1,0,0
530129,0,0,0
730129,0,1,1
510129,0,1,1
670129,0,0,0
350129,0,0,0
540129,0,0,0
520129,0,0,0
760129,0,0,0
751129,0,0,0
752129,0,0,0
753129,0,0,0
080013,1,0,0
130013,1,0,0
400013,0,0,0
210013,0,0,0
271013,1,0,0
150013,1,0,0
310013,0,0,0
440013,0,0,0
730013,0,1,1
320013,0,0,1
680013,0,0,0
090013,0,0,0
590013,1,0,0
470130,0,0,0
460130,0,0,0
570130,1,0,0
150130,1,0,0
650130,0,0,0
670130,0,0,0
140130,1,0,0
820130,0,0,0
380130,1,0,0
160130,1,0,0
530130,0,0,0
730130,0,1,0
510130,0,1,1
350130,0,0,0
540130,0,0,0
520130,0,0,0
760130,0,1,0
751130,0,0,0
311130,1,0,0
752130,0,0,0
312130,1,0,0
560131,1,0,0
460131,0,0,0
470131,0,0,0
570131,1,0,0
650131,0,0,0
670131,0,0,0
680131,0,0,0
140131,1,0,0
530131,0,0,0
730131,0,1,0
510131,0,1,1
350131,0,0,0
760131,0,0,0
311131,0,0,0
162131,1,0,0
312131,0,0,0
163131,1,0,0
560132,0,0,0
470132,0,0,0
460132,0,0,0
570132,1,0,0
650132,0,0,0
670132,0,0,0
680132,0,0,0
820132,0,0,0
380132,1,0,0
160132,0,0,0
530132,0,0,0
730132,0,1,0
510132,0,1,1
350132,0,0,0
540132,0,0,0
520132,0,1,0
760132,0,0,0
460133,0,0,0
470133,0,0,0
570133,1,0,0
650133,0,0,0
670133,0,0,0
140133,1,0,0
820133,0,0,0
380133,1,0,0
160133,1,0,0
530133,0,0,0
730133,0,1,0
510133,0,1,1
350133,0,0,0
540133,0,0,0
520133,0,0,1
680133,0,0,0
760133,0,0,0
671133,0,0,0
460134,0,0,0
650134,0,0,0
820134,0,0,1
380134,0,0,0
160134,1,0,0
730134,0,1,0
670134,0,0,0
350134,1,0,0
540134,0,0,0
520134,0,1,0
680134,0,0,0
760134,0,0,0
470135,0,0,0
460135,0,0,0
570135,1,0,0
650135,0,0,1
820135,0,0,0
160135,1,0,0
350135,0,0,0
540135,0,0,1
550135,1,0,0
520135,0,0,1
680135,0,0,0
760135,0,0,0
460136,0,0,0
160136,1,0,0
530136,0,0,0
510136,0,1,1
670136,0,0,0
350136,0,0,0
540136,0,0,0
550136,0,0,0
520136,0,0,0
680136,0,0,0
760136,0,0,0
460137,0,0,0
470137,0,1,0
650137,0,0,0
160137,1,0,0
530137,0,0,0
510137,0,1,1
670137,0,0,0
540137,0,0,1
550137,0,0,0
520137,0,0,0
680137,0,0,0
760137,0,0,0
470138,0,0,0
460138,0,0,0
570138,1,0,1
650138,0,0,0
820138,0,0,0
160138,1,0,0
730138,0,1,1
510138,0,1,1
540138,0,0,1
550138,0,0,0
520138,0,0,0
521138,0,1,0
311138,1,0,0
611138,0,0,0
312138,1,0,0
612138,0,0,0
313138,1,0,0
613138,1,0,0
470139,0,0,0
460139,0,0,0
570139,1,0,0
650139,0,1,0
160139,1,0,0
530139,0,0,0
730139,0,1,1
510139,0,1,1
350139,1,0,0
540139,0,0,0
550139,0,0,0
520139,0,0,0
521139,0,1,0
760139,0,0,0
311139,1,0,0
312139,1,0,0
130014,1,0,0
400014,0,0,1
270014,1,0,0
360014,0,0,0
310014,1,0,0
320014,0,0,1
161014,1,0,0
680014,0,0,0
090014,0,0,0
590014,1,0,0
